MemberType,Name,DataType
procedure,AddPCBObject,PCBObject : IPCB_Primitive
property,AllowGlobalEdit,Boolean
procedure,BeginModify,
property,Board,IPCB_Board
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelGroupWarehouseRegistration,Pad : IPCB_Pad
procedure,CancelModify,
property,Color,TColor
property,Component,IPCB_Component
property,ConnectivelyInvalid,Boolean
procedure,ConnectivelyInValidate,
property,ConnectsVisible,Boolean
property,Coordinate,IPCB_Coordinate
property,Descriptor,TPCBString
property,Detail,TPCBString
property,DifferentialPair,Pointer
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,Export_ToParameters,AParams : PWideChar
function,FastSetState_XSizeYSize,Boolean
procedure,FlipXY,Axis : Integer; MirrOp : TMirrorOperation
procedure,FreePrimitives,
function,GetLogicalNet,IPCB_Group
function,GetPrimitiveAt[I : Integer; ObjectId : TObjectId],IPCB_Primitive
function,GetPrimitiveCount,ObjectSet : TObjectSet : Integer
function,GetSubnets,IPCB_Group
procedure,GraphicallyInvalidate,
function,GroupIterator_Create,IPCB_GroupIterator
procedure,GroupIterator_Destroy,var AIterator : IPCB_GroupIterator
property,Handle,TPCBString
procedure,HideNetConnects,
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDifferentialPair,Boolean
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
function,InSelectionMemory[Index: Integer],Boolean
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
function,IsHighlighted,Boolean
property,IsKeepout,Boolean
property,IsPreRoute,Boolean
function,IsSaveable,AVer : TAdvPCBFileFormatVersion : Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
function,I_ObjectAddress,Pointer
property,JumpersVisible,Boolean
property,Layer,TLayer
property,LayerUsed[L: TV6_Layer],Boolean
property,Layer_V6,TV6_Layer
property,LiveHighlightMode,TLiveHighlightMode
property,LoopRemoval,Boolean
procedure,Mirror,Axis : Integer; MirrOp : TMirrorOperation
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Moveable,Boolean
procedure,MoveByXY,AX : Integer; AY : Integer
procedure,MoveToXY,AX : Integer; AY : Integer
property,Name,TPCBString
property,Net,IPCB_Net
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,OverrideColorForDraw,Boolean
function,PadByName[PadName: WideString],IPCB_Primitive
function,PadByPinDescription[PinDes: WideString],IPCB_Primitive
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
property,PinCount,Integer
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
property,PrimitiveLock,Boolean
procedure,Rebuild,
procedure,RegisterWithGroupWarehouse,Pad : IPCB_Pad
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
procedure,RemovePCBObject,PCBObject : IPCB_Primitive
function,Replicate,IPCB_Primitive
function,ReplicateWithChildren,IPCB_Primitive
function,RequiredParamterSpace,Integer
procedure,RotateBy,Angle : Double
property,RouteLength,TCoord
property,Selected,Boolean
procedure,SetState_LayersUsedArray,
procedure,SetState_Preview,Enable : Boolean; Color : Cardinal; Opacity : Single; z : Integer; Height : Integer; sx : Single; sy : Single; SZ : Single
function,SetState_XSizeYSize,Boolean
procedure,ShowNetConnects,
property,SolderMaskExpansion,TCoord
procedure,SubnetIndices_Reset,
procedure,SubnetIndices_Set,
procedure,SwapLayerPairs,
property,TearDrop,Boolean
property,UnionIndex,Integer
property,UniqueId,TPCBString
property,Used,Boolean
property,UserRouted,Boolean
property,ViaCount,Integer
property,ViewableObjectID,TViewableObjectID
property,x,TCoord
property,y,TCoord